reviewid,best_new_music,author,genre,label,score
22582,0,vanessa okoth-obbo,pop/r&b,rca,6.5
22604,0,matthew ramirez,rap,new funk academy,7.2
22585,0,kevin lozano,rap,warp,7.8
22560,0,raymond cummings,rock,sacred bones,7.2
22589,0,kevin lozano,electronic,columbia,3.5
22589,0,kevin lozano,electronic,disruptor,3.5
22584,0,evan minsker,,in the red,7.8
22392,0,andy beta,rock,light in the attic,6.3
22347,0,seth colter walls,jazz,firehouse 12,8
22571,0,evan rytlewski,pop/r&b,torn clean,5.9
22586,0,evan rytlewski,rap,def jam,6
22586,0,evan rytlewski,rap,yj,6
22587,0,louis pattison,folk/country,domino,8
22550,0,marcus k. dowling,pop/r&b,fat possum,7.2
22550,0,marcus k. dowling,pop/r&b,fresh selects,7.2
22464,0,andy beta,pop/r&b,weird world,6.8
22570,0,ryan leas,rock,ato,7.9
22570,0,ryan leas,rock,capitol,7.9
22599,0,matthew strauss,rap,a$ap worldwide,7.1
22599,0,matthew strauss,rap,polo grounds,7.1
22599,0,matthew strauss,rap,rca,7.1
22558,0,saby reyes-kulkarni,rock,joyful noise,6.5
22415,0,raymond cummings,rock,tiny engines,7.6
22600,0,simon goddard,pop/r&b,polar,8.6
22566,0,sheldon pearce,rap,music on vinyl,7.6
22520,0,marc masters,experimental,cold spring,7.3
22520,0,marc masters,jazz,cold spring,7.3
22574,0,jay balfour,rap,closed sessions,7.2
22452,0,matthew grosinger,rock,ato,6
22588,0,edwin stats houghton,rap,def jam,7.9
22588,0,edwin stats houghton,rap,umg,7.9
22455,0,matthew grosinger,electronic,terrible,7.3
22480,0,mehan jayasuriya,rap,self-released,6.5
22543,0,saby reyes-kulkarni,electronic,blackest ever black,7.4
22579,0,nina mashurova,rock,big deal,6.6
22579,0,nina mashurova,rock,federal prism,6.6
22579,0,nina mashurova,rock,nice life,6.6
22576,0,philip sherburne,experimental,quiet time,7.7
22569,0,stephen thomas erlewine,pop/r&b,stax,9
22556,0,jay balfour,pop/r&b,daptone,6.8
22575,0,matthew ismael ruiz,rap,maybach,6.9
22554,0,michael j. agovino,jazz,columbia,7.5
22554,0,michael j. agovino,jazz,legacy,7.5
22528,0,philip sherburne,electronic,honest jon's,7.9
22540,0,saby reyes-kulkarni,metal,cooking vinyl,6.9
22540,0,saby reyes-kulkarni,metal,party smasher inc.,6.9
22374,1,simon reynolds,rock,universal,10
22562,0,brian burlage,rock,fat possum,7.1
22578,0,katherine st. asaph,pop/r&b,island,7
22414,0,philip sherburne,electronic,kranky,7.6
22498,0,sam sodomsky,rock,merge,8
22413,0,philip sherburne,electronic,dial,7.8
22572,0,dean van nguyen,rap,closed sessions,6.9
22462,0,andy beta,electronic,rvng intl.,8.2
22557,0,andy o'connor,metal,20 buck spin,7.6
22485,0,jesse jarnow,rock,columbia,10
22547,0,jay balfour,rap,empire,6
22547,0,jay balfour,rap,mood muzik,6
22537,0,brad nelson,rock,arts & crafts,8
22441,0,marc masters,rock,grapefruit,8.1
22517,0,andy beta,electronic,dark entries,7.6
22523,0,jayson greene,rap,atlantic,7.8
22523,0,jayson greene,rap,empire,7.8
22523,0,jayson greene,rap,w.a.v.e. recordings,7.8
22551,0,cameron cook,pop/r&b,labrador,7.6
22568,0,louis pattison,electronic,1080p,6.8
22483,0,seth colter walls,jazz,motma,6.4
22567,0,douglas wolk,,columbia,6.2
22567,0,douglas wolk,,iso,6.2
22567,0,douglas wolk,,rca,6.2
22549,0,stephen thomas erlewine,rock,groundup,6.5
22549,0,stephen thomas erlewine,rock,verve,6.5
22545,0,vanessa okoth-obbo,pop/r&b,atlantic,7
22546,0,alexander iadarola,electronic,diagonal,7.5
22526,0,ian cohen,rock,polyvinyl,7.7
22526,0,ian cohen,rock,wichita,7.7
22529,0,saby reyes-kulkarni,rock,rough trade,6.7
22500,0,minna zhou,electronic,mixpak,7.4
22548,0,colin joyce,electronic,run for cover,7.1
22524,0,amanda petrusich,pop/r&b,interscope,6.9
22524,0,amanda petrusich,pop/r&b,streamline,6.9
22324,0,stuart berman,rock,,8.2
22442,0,ben scheim,electronic,uovooo,7.5
22442,0,ben scheim,experimental,uovooo,7.5
22516,0,seth colter walls,jazz,pi,8.1
22514,1,stacey anderson,rock,columbia,8.5
22514,1,stacey anderson,rock,sony,8.5
22542,0,evan rytlewski,,self-released,6.8
22454,0,stuart berman,rock,what's your rupture?,7.4
22436,0,saby reyes-kulkarni,,thrill jockey,6.6
22377,0,ian cohen,rock,triple crown,7
22291,0,evan minsker,rock,sire,6.4
22378,0,ian cohen,rock,rca,7.3
22541,0,stephen m. deusner,,american laundromat,6
22503,0,saby reyes-kulkarni,metal,nuclear blast,6.5
22479,0,john s.w. macdonald,rock,drag city,6.7
22479,0,john s.w. macdonald,rock,god?,6.7
22522,0,israel daramola,rap,atlantic,7.5
22515,0,andy beta,electronic,mute,4
22530,0,thea ballard,electronic,sister polygon,7.2
22507,0,matthew ramirez,rap,self-released,4.9
22521,0,ryan leas,rock,rca,4.5
22512,0,claire lobenfeld,electronic,tri angle,7.3
22508,0,nathan reese,rock,mom & pop,6.9
22509,0,evan rytlewski,folk/country,driftless,7
22463,1,jillian mapes,rock,mexican summer,8.3
22513,0,dean van nguyen,rap,interscope,7.8
22412,0,philip sherburne,electronic,xl,8.1
22504,0,saby reyes-kulkarni,,profound lore,7
22389,1,jonah bromwich,pop/r&b,stones throw,8.2
22499,0,katherine st. asaph,rock,sire,6.6
22495,0,zoe camp,metal,peaceville,7.2
22461,0,andy beta,global,ndagga,8
22494,0,evan rytlewski,pop/r&b,jajulin,6.2
22440,0,stephen thomas erlewine,folk/country,paradise of bachelors,8.5
22496,0,evan rytlewski,rock,temporary residence,5.9
22497,0,seth colter walls,jazz,cuneiform,7.9
22458,0,quinn moreland,rock,bayonet,7.4
22308,0,winston cook-wilson,rock,reprise,9.3
22390,0,andy beta,electronic,kompakt,6
22511,0,vanessa okoth-obbo,rap,atlantic,6.1
22511,0,vanessa okoth-obbo,rap,nice life,6.1
22493,0,kevin lozano,electronic,cititrax,8
22339,0,marc masters,rock,drag city,6.8
22490,0,kevin lozano,electronic,italians do it better,6
22404,1,quinn moreland,rock,light in the attic,8.6
22372,0,saby reyes-kulkarni,global,strut,7.2
22411,0,philip sherburne,electronic,polydor,5.7
22348,1,stephen thomas erlewine,rock,omnivore,9.5
22391,0,mehan jayasuriya,rap,customs,7.4
22410,0,philip sherburne,electronic,aus,7.6
22492,0,sam sodomsky,rock,sargent house,7.4
22488,0,ian cohen,rock,nonesuch,7.5
22477,0,quinn moreland,rock,epitaph,7.7
22489,0,katherine st. asaph,pop/r&b,harvest,5.1
22438,0,louis pattison,electronic,hyperdub,7.1
22323,0,laura snapes,folk/country,merge,8.2
22307,0,marcus j. moore,jazz,blue note,6.9
22307,0,marcus j. moore,pop/r&b,blue note,6.9
22486,0,paul a. thompson,rap,so way out tha innerprize,7.5
22478,0,nate patrin,global,tommy boy,6.2
22478,0,nate patrin,rap,tommy boy,6.2
22474,0,brad nelson,rock,reprise,5.1
22450,0,stuart berman,experimental,rocket,7.3
22450,0,stuart berman,experimental,sub pop,7.3
22449,0,sam sodomsky,folk/country,woodsist,7.3
22460,0,andy o'connor,metal,relapse,7.5
22439,0,saby reyes-kulkarni,metal,metal blade,7.2
22253,0,julianne escobedo shepherd,pop/r&b,a&m,9
22318,0,laura snapes,rock,big brother,5.3
22445,0,matthew ismael ruiz,electronic,asthmatic kitty,8.1
22484,0,sheldon pearce,rap,roc nation,6.9
22466,0,andy o'connor,metal,nuclear blast,6.7
22429,0,marcus j. moore,pop/r&b,self-released,7.4
22451,0,sam sodomsky,rock,jemp,5.3
22471,0,zoe camp,pop/r&b,republic,5.8
22470,0,brian howe,electronic,history always favours the winners,7.3
22437,0,stuart berman,rock,pixiesmusic,5.5
22437,0,stuart berman,rock,play it again sam,5.5
22475,0,cameron cook,pop/r&b,kttf,6.4
22476,0,jason heller,metal,neurot,7.1
22472,0,andy beta,experimental,pan,7.3
22482,1,julianne escobedo shepherd,pop/r&b,columbia,8.7
22482,1,julianne escobedo shepherd,pop/r&b,saint,8.7
22376,0,ian cohen,rock,vagrant,6.8
22459,0,brian howe,experimental,smalltown supersound,7
